Continuous MARL Server listening on 127.0.0.1:5555
Client connected: ('127.0.0.1', 52275)
X=685.2, Y=5331.6 | Дії Мисливця: Рух=-0.04, Поворот=-0.51 | Радар=-0.25 | Нагорода=-0.2815
X=685.4, Y=5331.3 | Дії Мисливця: Рух=0.60, Поворот=0.58 | Радар=-0.19 | Нагорода=-0.0588
X=684.0, Y=5324.2 | Дії Мисливця: Рух=-0.35, Поворот=-0.23 | Радар=-0.27 | Нагорода=0.0779
X=682.6, Y=5316.8 | Дії Мисливця: Рух=-0.22, Поворот=0.37 | Радар=-0.25 | Нагорода=0.0552
X=682.0, Y=5319.1 | Дії Мисливця: Рух=0.05, Поворот=-0.79 | Радар=-0.30 | Нагорода=-0.1199
X=681.9, Y=5320.0 | Дії Мисливця: Рух=0.34, Поворот=0.71 | Радар=-0.19 | Нагорода=-0.0751
X=681.1, Y=5315.5 | Дії Мисливця: Рух=-0.53, Поворот=0.74 | Радар=-0.29 | Нагорода=0.0271
X=679.4, Y=5312.2 | Дії Мисливця: Рух=-0.02, Поворот=-0.53 | Радар=-0.39 | Нагорода=-0.0090
X=678.6, Y=5313.7 | Дії Мисливця: Рух=0.24, Поворот=-0.15 | Радар=-0.32 | Нагорода=-0.0736
X=678.7, Y=5312.5 | Дії Мисливця: Рух=-0.24, Поворот=-0.64 | Радар=-0.30 | Нагорода=-0.0452
X=679.0, Y=5311.3 | Дії Мисливця: Рух=-0.42, Поворот=-0.57 | Радар=-0.21 | Нагорода=-0.0778
X=680.7, Y=5318.7 | Дії Мисливця: Рух=0.07, Поворот=0.18 | Радар=-0.13 | Нагорода=-0.2435
X=681.6, Y=5321.9 | Дії Мисливця: Рух=-0.09, Поворот=-0.33 | Радар=-0.15 | Нагорода=-0.1308
X=681.5, Y=5321.7 | Дії Мисливця: Рух=-0.11, Поворот=0.91 | Радар=-0.11 | Нагорода=-0.0558
Continuous MARL Server listening on 127.0.0.1:5555
Continuous MARL Server listening on 127.0.0.1:5555
